Csource;Cultmode;Mu;q_s;q_Ac;q_Lac;q_Pyr;q_O2;q_CO2
Glucose;Batch;2.24;30.06;7.85575038713019;1.08596349268663;NaN;44.4229903524966;45.6963916373833
Xylose;Batch;1.52;34.9;0;0;NaN;NaN;NaN
Glycerol;Batch;1.95;49.06;0;0;0;NaN;NaN
Acetate;Batch;0.459;NaN;NaN;NaN;NaN;NaN;NaN
Galactose;Batch;0.72;NaN;NaN;NaN;NaN;NaN;NaN
Maltose;Batch;0.76;NaN;NaN;NaN;NaN;NaN;NaN
Sucrose;Batch;1.91;NaN;NaN;NaN;NaN;NaN;NaN
Cellobiose;Batch;1.89;NaN;NaN;NaN;NaN;NaN;NaN
Glycogen;Batch;1.42;NaN;NaN;NaN;NaN;NaN;NaN
Mannitol;Batch;1.56;NaN;NaN;NaN;NaN;NaN;NaN
Glucose;Chemostat;0.1;3.09;0;0;NaN;13.3115127573222;12.2599196243032
Glucose;Chemostat;0.1;3.45;0;0.011115607092699;NaN;15.3243488691435;15.8495861618268
Glucose;Chemostat;0.1;3.32;0;0;NaN;12.9688915627276;12.6002373961558
Glucose;Chemostat;0.17;4.56;0;0;NaN;15.499161145796;15.9318573962126
Glucose;Chemostat;0.2;4.88;0;0.0224868376576675;NaN;15.7502788630391;15.1894983622717
Glucose;Chemostat;0.79;13.30;0;0.0442883206988202;NaN;30.2858518363154;31.801536960358
Glucose;Chemostat;0.8;13.61;0;0.0824005380956082;NaN;31.0657294691399;31.2952303204893
Glucose;Chemostat;1.2;18.33;0;0.108460542080876;NaN;38.2754822971806;38.6057449240864
Glucose;Chemostat;1.21;18.66;0;0.0733770950662515;NaN;40.325435493917;39.6600116273775
Glucose;Chemostat;1.59;22.59;0;0.126094386889276;NaN;44.3436522186152;42.4901445030481
Glucose;Chemostat;1.6;22.80;0;0;NaN;47.4511472149433;46.8090091265882
Glucose;Chemostat;1.69;23.26;0;0.199179069603189;NaN;47.4441622271635;47.3599554409169
Glucose;Chemostat;1.72;23.57;0;0.0766005162550123;NaN;48.9492358615311;48.8448215170554
Glucose;Chemostat;1.76;23.27;2.27;0.299421159697246;NaN;51.1861460440325;46.2596917709039
Glucose;Chemostat;1.78;24.77;2.4;0.318233274245619;NaN;51.6098889901369;45.9431942692817
Glucose;Chemostat;1.98;29.10;6.64;0.467405793674211;NaN;47.0402174848527;48.0477175783037
Glucose;Chemostat;1.98;27.58;6.11;0.195764618145389;NaN;42.697361471949;43.0794937712662
