D,q_s,q_Ac,q_Lac,q_O2,q_CO2,C_Balance,C_x,Comment
0.10,2.81,0.00,0.01,11.58,12.67,,,
0.17,3.89,0.00,0.00,13.24,13.61,,,
0.20,4.25,0.00,0.02,13.70,13.21,,,
0.49,8.06,0.00,0.00,19.15,19.08,,,
0.51,8.90,0.00,0.04,22.64,22.57,,,
1.59,20.69,0.00,0.12,40.62,38.92,,,
1.60,20.87,0.00,0.00,43.45,42.86,,,
1.60,20.79,0.00,0.15,44.76,44.13,,,
1.61,21.11,0.00,0.18,40.03,43.59,,,
1.69,21.35,0.00,0.18,43.54,43.47,,,
1.72,20.21,0.00,0.07,38.46,38.38,,,
1.98,26.08,5.95,0.42,42.15,43.05,,,
1.98,24.39,5.40,0.17,35.95,36.26,,,
2.15,36.00,10.10,NaN,NaN,NaN,NaN,NaN,Batch
