D,q_s,q_Ac,q_Lac,q_O2,q_CO2,C_Balance,C_x,Comment
0.49,8.06,0,0.00,19.35,19.29,78.52,1.43,
0.51,8.90,0,0.04,22.64,22.57,78.50,1.363,
0.98,15.11,0,0.08,25.88,27.57,71.74,1.44,
1.39,19.00,0,0.17,40.45,42.81,84.37,1.62,
1.40,19.71,0,0.17,40.63,43.40,82.24,1.58,
1.60,21.66,0,0.43,45.03,40.14,78.63,1.64,
1.60,20.79,0,0.15,42.92,42.31,83.24,1.857,
1.61,21.11,0,0.18,38.38,41.79,81.82,1.78,
1.70,23.76,1.41,0.88,65.02,57.16,89.46,1.59,
1.75,24.28,0.92,0.56,65.16,58.86,88.54,1.60,
1.83,23.91,2.20,0.37,44.28,45.38,84.17,1.70,
1.87,23.80,2.49,0.33,46.10,46.99,87.04,1.75,
2.20,35.70,10.10,NaN,NaN,NaN,NaN,NaN,Batch
