Csource,Cultmode,Mu,q_s,q_Ac,q_Lac,q_Pyr,q_O2,q_CO2
Glucose,Chemostat,0.98,15.11,0.00,0.08,NaN,25.88,27.57
Glucose,Chemostat,1.39,19.00,0.00,0.17,NaN,40.45,42.81
Glucose,Chemostat,1.40,19.71,0.00,0.17,NaN,40.63,43.40
Glucose,Chemostat,1.60,21.66,0.00,0.43,NaN,45.03,40.14
Glucose,Chemostat,1.70,23.76,1.41,0.88,NaN,65.02,57.16
Glucose,Chemostat,1.75,24.28,0.92,0.56,NaN,65.16,58.86
Glucose,Chemostat,1.83,23.91,2.20,0.37,NaN,44.28,45.38
Glucose,Chemostat,1.87,23.80,2.49,0.33,NaN,46.10,46.99
Glucose,Batch,2.15,36.00,10.10,NaN,NaN,NaN,NaN
Xylose,Batch,1.35,NaN,0.00,0.00,NaN,NaN,NaN
Glycerol,Batch,1.95,49.06,0.00,0.00,0.00,NaN,NaN
Acetate,Batch,0.69,NaN,NaN,NaN,NaN,NaN,NaN
Galactose,Batch,0.72,NaN,NaN,NaN,NaN,NaN,NaN
Maltose,Batch,0.76,NaN,NaN,NaN,NaN,NaN,NaN
Sucrose,Batch,1.91,NaN,NaN,NaN,NaN,NaN,NaN
Cellobiose,Batch,1.89,NaN,NaN,NaN,NaN,NaN,NaN
Glycogen,Batch,1.42,NaN,NaN,NaN,NaN,NaN,NaN
Mannitol,Batch,1.56,NaN,NaN,NaN,NaN,NaN,NaN
