Csource,Cultmode,Mu,q_s,q_Ac,q_Lac,q_Pyr,q_O2,q_CO2
Glucose,Chemostat,0.10,2.81,0.00,0.01,NaN,11.58,12.67
Glucose,Chemostat,0.17,3.89,0.00,0.00,NaN,13.24,13.61
Glucose,Chemostat,0.20,4.25,0.00,0.02,NaN,13.70,13.21
Glucose,Chemostat,0.49,8.06,0.00,0.00,NaN,19.15,19.08
Glucose,Chemostat,0.51,8.90,0.00,0.04,NaN,22.64,22.57
Glucose,Chemostat,1.59,20.69,0.00,0.12,NaN,40.62,38.92
Glucose,Chemostat,1.60,20.87,0.00,0.00,NaN,43.45,42.86
Glucose,Chemostat,1.60,20.79,0.00,0.15,NaN,44.76,44.13
Glucose,Chemostat,1.61,21.11,0.00,0.18,NaN,40.03,43.59
Glucose,Chemostat,1.69,21.35,0.00,0.18,NaN,43.54,43.47
Glucose,Chemostat,1.72,20.21,0.00,0.07,NaN,38.46,38.38
Glucose,Chemostat,1.98,26.08,5.95,0.42,NaN,42.15,43.05
Glucose,Chemostat,1.98,24.39,5.40,0.17,NaN,35.95,36.26
Glucose,Batch,2.15,36.00,10.10,NaN,NaN,NaN,NaN
Xylose,Batch,1.25,NaN,0.00,0.00,NaN,NaN,NaN
Glycerol,Batch,1.95,49.06,0.00,0.00,0.00,NaN,NaN
Galactose,Batch,0.72,NaN,NaN,NaN,NaN,NaN,NaN
Maltose,Batch,0.76,NaN,NaN,NaN,NaN,NaN,NaN
Sucrose,Batch,1.91,NaN,NaN,NaN,NaN,NaN,NaN
Cellobiose,Batch,1.89,NaN,NaN,NaN,NaN,NaN,NaN
Glycogen,Batch,1.42,NaN,NaN,NaN,NaN,NaN,NaN
Mannitol,Batch,1.56,NaN,NaN,NaN,NaN,NaN,NaN
