ProteinID	ReplicateA	ReplicateB	ReplicateC	ReplicateD
AKU25182.1	0.00209771317259068	0.00120003256546557	0.000711385654687333	0.0021200573504696
AKU25192.1	1.04160195580889e-05	4.79100557962219e-05	NaN	0.000132755045628953
AKU25194.1	2.48694889041168e-06	6.95526054071676e-07	1.69775971963163e-06	7.94210611877961e-07
AKU25196.1	8.16118231139252e-05	5.49031894059261e-05	4.4717563288387e-05	8.54712847192613e-05
AKU25197.1	0.000524537995753406	0.00054201272486433	0.000948707247988944	0.000395500173599176
AKU25198.1	0.000219863646805209	0.000235431198829271	0.000182890289325689	0.000204215264247053
AKU25200.1	0.000869404879885819	0.000843404353490702	0.000877560771787462	0.00095654339621786
AKU25201.1	0.000323694094672388	0.000278464264680182	0.000242165979442914	0.000367445405378264
AKU25202.1	0.00113609491976434	0.00103077675116902	0.00165890667036934	0.00119261252505155
AKU25205.1	0.000547601644759906	0.000361806779887921	0.00070253703692152	0.000392593416787581
AKU25207.1	1.26886953500521e-05	5.20551205777421e-06	NaN	2.21311344236759e-05
AKU25209.1	2.48694889041168e-06	6.95526054071676e-07	1.69775971963163e-06	7.94210611877961e-07
AKU25210.1	0.00051869953961469	0.000492878162711332	0.000617995342968344	0.000598486073456705
AKU25211.1	6.77987924479956e-05	0.000123180810760358	0.000125565209091217	0.000120467016493392
AKU25212.1	0.000171036011791492	0.000130462712197694	0.000135757302793397	0.000160065033996702
AKU25213.1	3.64792643018033e-05	9.71491356302853e-05	2.28609225074311e-05	4.58902340138453e-05
AKU25215.1	2.48041703739806e-05	NaN	9.29582705868151e-06	2.72291781016962e-05
AKU25216.1	2.68997061815294e-05	0.000142831184940475	7.94049626425206e-05	1.27547646856852e-05
AKU25217.1	1.74825735360668e-05	1.7715985442697e-05	2.9858848436354e-05	1.80533489263378e-05
AKU25220.1	0.000393614305204102	0.000265946635310646	0.00101053192701435	0.000352252210745134
AKU25224.1	0.00198478951364878	0.00158999980068277	0.000818546128564748	0.00173674170633556
AKU25227.1	8.91659293012836e-05	4.65615946121892e-05	7.52914162091001e-05	0.000102929649854701
AKU25228.1	0.000203516645481886	0.000219822822917591	0.000242425568564456	0.000205933245492405
AKU25230.1	0.00227601171664396	0.00126647026638079	0.00111958729630874	0.00181156944125896
AKU25231.1	7.60485877436405e-05	0.000107513892450487	7.32010075303996e-06	9.36068003546664e-05
AKU25233.1	0.000162138380292302	0.000160768186522859	0.000136900335928853	0.000120139836683034
AKU25235.1	0.000194015040850989	0.000300496617267444	0.000261384888579407	0.000317871043955261
AKU25237.1	0.00032931990692474	0.000390343864280953	0.000290545558703699	0.000192261666858807
AKU25244.1	9.22716915681317e-05	5.99978129140355e-05	4.1258922452683e-05	8.04366690844897e-05
AKU25251.1	3.46121137372798e-05	9.4871082473381e-06	2.28621469483164e-05	5.97004617217073e-05
AKU25252.1	6.36185630122728e-05	8.93977564249165e-05	0.000102469303958543	0.000109187743641076
AKU25254.1	1.51874822226248e-05	2.12608383759116e-05	NaN	2.86215882064362e-05
AKU25255.1	9.7872518871401e-05	0.000122597877358029	0.000147157780449076	8.77602606607014e-05
AKU25257.1	0.000142490641198262	0.000134594059842821	8.579550013122e-05	0.000167585193098572
AKU25258.1	6.18906563748486e-05	5.70060569597431e-05	7.90234885138672e-05	4.92898432542409e-05
AKU25260.1	0.000437775909074589	0.000534580806028592	0.000511971158881027	0.000540794507468746
AKU25261.1	0.000179063080181312	0.000141392873199762	0.000360197310874754	0.000100168182684209
AKU25262.1	0.000145386925969476	0.000180590885575809	0.000207008553656827	0.000126316895111331
AKU25263.1	1.11553829311069e-05	1.93055868043937e-05	1.66372137391559e-05	1.58716943505406e-05
AKU25264.1	8.8430321725558e-05	6.47985763711611e-05	0.000124972473966092	8.26586737113439e-05
AKU25265.1	5.28549180721674e-05	6.62828154278094e-05	5.79426670092572e-05	5.14233416415438e-05
AKU25268.1	3.45070209354575e-05	4.82077435763316e-05	4.98013402650854e-05	3.30348893039796e-05
AKU25269.1	0.00083926721040598	0.000893948433709989	0.000662963006947919	0.000865848155389812
AKU25271.1	1.26941320580289e-05	4.48592382139672e-05	2.51850539610388e-05	4.27121415434839e-05
AKU25273.1	0.000191908912299097	0.000254184690461178	0.000228568268372377	0.000318376098861485
AKU25274.1	0.000226673990787479	0.000203320737662198	0.000332544197342872	0.000230575947274118
AKU25275.1	0.000133626806499562	0.000162145240702588	0.000214138222860562	0.000138001703257058
AKU25276.1	0.00789390867689202	0.00569648191897978	0.00210261265814139	0.0044436717541566
AKU25277.1	0.000108382278333237	9.73676089797301e-05	0.000124997831949103	8.28167113464276e-05
AKU25278.1	8.59623390690329e-05	0.000131203577760023	0.000143688963333541	0.000100850630128034
AKU25279.1	0.00210314999814695	0.00150157342556729	0.00139628414063701	0.00136924587954942
AKU25281.1	0.000330988578109183	0.000244741221343874	0.000600603425116322	0.000293725055984872
AKU25287.1	4.87423517223566e-05	3.82214411327777e-05	2.5596209653256e-05	0.000139209930895727
AKU25288.1	8.45306627023695e-05	8.48312613530147e-05	9.77157913788546e-05	0.000108425576647578
AKU25290.1	0.000102064358034658	7.274105722183e-05	6.48690488971024e-05	5.89727140202069e-05
AKU25291.1	0.000925002250088467	0.00107485811759713	0.000919686474472189	0.00101550467291181
AKU25294.1	6.5596771623359e-06	5.38568264489906e-06	NaN	1.20102204950586e-05
AKU25296.1	4.17379370878972e-05	4.12907206315862e-05	0.000129435509387727	4.70533006335728e-05
AKU25297.1	0.000109490247832657	6.4473290312429e-05	7.26879115900692e-05	5.17059374458816e-05
AKU25299.1	3.64860020079244e-05	5.29727557916919e-05	5.2614232541948e-05	3.42617653853236e-05
AKU25301.1	0.000693236167673177	0.000724293980309982	0.000846472572360401	0.000959780145446363
AKU25302.1	6.1330249665508e-05	5.37738293214639e-05	2.48270257727908e-05	5.36651693361193e-05
AKU25305.1	0.000319104225822368	0.000378276115756146	0.000360843167977169	0.00035927100354219
AKU25306.1	0.000115626656699223	0.000147498727021288	7.07675918139148e-05	0.000123545830954681
AKU25307.1	0.00106596944950741	0.00103733919276009	0.000676399161255331	0.000803150927646738
AKU25308.1	0.000218524594319674	0.000228875408844735	0.000393318249205773	0.00023045126607138
AKU25309.1	0.000966819115870416	0.000916447708752721	0.000811564228202612	0.000919073337681419
AKU25310.1	0.00118411761792154	0.0014329200178988	0.00115345971322884	0.00118307337990118
AKU25311.1	0.000299522123288038	0.000344955304604909	0.000307047730170597	0.000322315140761478
AKU25312.1	0.000632975218431468	0.00101174437083972	0.00113410815482058	0.00092654049973882
AKU25313.1	0.000289914470715788	0.000248831001743357	0.000269965650370588	0.000209390605980914
AKU25314.1	0.000532818840011568	0.000473451050818392	0.000513458811545851	0.000458936243073273
AKU25315.1	0.000876309625394823	0.000936952632958279	0.00110308946333577	0.000841230902200829
AKU25316.1	0.000337267410397012	0.000439384072514362	0.000532563002244196	0.000428968353983414
AKU25317.1	0.0001335567632729	0.000153183246192636	0.000170912342043317	0.000177657385906026
AKU25319.1	0.000137856577979573	0.000164415030329183	0.000248906901694648	0.000133421369966025
AKU25323.1	0.000617081671712099	0.000862055700971323	0.00100655626331336	0.00089236452737636
AKU25325.1	5.82498802930407e-05	0.000105180565102692	7.01058056438962e-05	6.08625298850373e-05
AKU25326.1	0.000350909976623767	0.000403511636382483	0.000363923239459806	0.000675143018825305
AKU25328.1	0.000394689883821634	0.000439459826607192	0.000547215035692991	0.000602517550501968
AKU25329.1	0.000272393814769987	0.000244703947289603	0.000364621800933937	0.000431957987085875
AKU25332.1	0.000259158795656506	0.000205633731304211	0.000193843660958019	0.000292361955807398
AKU25339.1	0.000166376423078036	0.000133469196987779	0.00017436540166257	0.000181434089492784
AKU25340.1	0.000178684104834375	0.000159401519028085	0.000121113450271391	0.000125263561320554
AKU25342.1	0.000133666912668601	0.00016106829333055	0.000119450257663068	0.000115230229431706
AKU25343.1	0.000198336372801294	0.000156005485642735	5.79969009216703e-05	0.000125513121370646
AKU25345.1	8.84520820251362e-05	7.63390007695617e-05	0.000105453058970978	7.33703080831129e-05
AKU25347.1	0.000117598682147494	0.000114804791110154	0.000106026344270666	7.80542675509224e-05
