rxns,eccodes,genes
R00006,ec-code/2.2.1.6,IB49_05185 or IB49_05180
R00013,ec-code/4.1.1.47,IB49_05185
R00019,ec-code/1.12.7.2;ec-code/1.12.99.-,IB49_09315
R00025,ec-code/1.13.12.16,IB49_01360
R00026,ec-code/3.2.1.21,IB49_08540
R00036,ec-code/4.2.1.24,IB49_05095
R00066,ec-code/2.5.1.9,IB49_03270
R00068,ec-code/1.10.3.3,IB49_14805
R00078,ec-code/1.16.3.1,IB49_14805
R00084,ec-code/2.5.1.61,IB49_05105
R00086,ec-code/3.6.1.3;ec-code/3.6.1.5;ec-code/3.6.1.8;ec-code/3.6.1.15,IB49_10460
R00087,ec-code/3.6.1.8;ec-code/3.6.1.9,IB49_10460
R00103,ec-code/3.6.1.9;ec-code/3.6.1.22,IB49_10460
R00112,ec-code/1.6.1.1;ec-code/1.6.1.2;ec-code/1.6.1.3,IB49_09795
R00114,ec-code/1.4.1.13,IB49_17540
R00115,ec-code/1.8.1.7,IB49_15580
R00127,ec-code/2.7.4.3,IB49_10930
R00130,ec-code/2.7.1.24,IB49_05525
R00131,ec-code/3.5.1.5,IB49_01525 or IB49_01530 or IB49_01535
R00137,ec-code/2.7.7.1;ec-code/2.7.7.18,IB49_04475
R00139,ec-code/2.7.4.6,IB49_02820
R00156,ec-code/2.7.4.6,IB49_02820
R00158,ec-code/2.7.4.4;ec-code/2.7.4.14;ec-code/2.7.4.22,IB49_02910 or IB49_02655 or IB49_16485
R00177,ec-code/2.5.1.6,IB49_06120
R00183,ec-code/3.1.3.5,IB49_08200
R00188,ec-code/3.1.3.7;ec-code/3.1.3.97,IB49_05620
R00189,ec-code/6.3.1.5;ec-code/6.3.5.1,IB49_04840
R00190,ec-code/2.4.2.7;ec-code/2.4.2.8,IB49_04760 or IB49_10525
R00194,ec-code/3.2.2.9,IB49_04580
R00199,ec-code/2.7.9.2,IB49_15255
R00200,ec-code/2.7.1.40,IB49_05580 or IB49_07195
R00203,ec-code/1.2.1.22;ec-code/1.2.1.23,IB49_05715
R00206,ec-code/2.7.9.1,IB49_15255
R00207,ec-code/1.2.3.3,IB49_05185
R00209,ec-code/1.2.4.1;ec-code/1.8.1.4;ec-code/2.3.1.12,IB49_08605 or IB49_08600 or IB49_15580 or IB49_15575 or IB49_15570 or IB49_03685 or IB49_08610
R00214,ec-code/1.1.1.38;ec-code/1.1.1.39,IB49_18025 or IB49_17590
R00215,ec-code/1.1.1.83,IB49_09780
R00220,ec-code/4.3.1.17;ec-code/4.3.1.19,IB49_00900 or IB49_16150
R00221,ec-code/4.3.1.18,IB49_01480
R00226,ec-code/2.2.1.6,IB49_05185 or IB49_05180
R00228,ec-code/1.2.1.10,IB49_02205
R00230,ec-code/2.3.1.8,IB49_09645 or IB49_15075
R00238,ec-code/2.3.1.9;ec-code/2.3.1.16,IB49_09535 or IB49_01860 or IB49_07135 or IB49_05740
R00239,ec-code/2.7.2.11,IB49_02045
R00245,ec-code/1.2.1.88,IB49_11230
R00248,ec-code/1.4.1.3;ec-code/1.4.1.4;ec-code/1.4.1.13,IB49_02960 or IB49_17540
R00251,ec-code/3.5.2.9,IB49_17855 or IB49_17860
R00253,ec-code/6.3.1.2,IB49_16875 or IB49_00155
R00256,ec-code/1.4.1.13;ec-code/1.4.1.14;ec-code/1.4.7.1;ec-code/3.5.1.2,IB49_02950 or IB49_02335 or IB49_16005 or IB49_16000 or IB49_11725 or IB49_14300
R00259,ec-code/2.3.1.1,IB49_08965 or IB49_14285 or IB49_05665
R00260,ec-code/5.1.1.3,IB49_05215
R00264,ec-code/1.2.1.3;ec-code/1.2.1.26,IB49_05715
R00269,ec-code/3.5.1.3;ec-code/3.5.1.111,IB49_15035
R00271,ec-code/2.3.3.14,IB49_05170
R00286,ec-code/1.1.1.22,IB49_14525 or IB49_09145
R00287,ec-code/3.6.1.8;ec-code/3.6.1.9;ec-code/3.6.1.45,IB49_10460
R00289,ec-code/2.7.7.9;ec-code/2.7.7.64,IB49_08890 or IB49_09155
R00291,ec-code/5.1.3.2,IB49_09080
R00299,ec-code/2.7.1.1;ec-code/2.7.1.2,IB49_04020
R00306,ec-code/3.2.1.21;ec-code/3.2.1.74,IB49_08540
R00310,ec-code/4.99.1.1,IB49_13585
R00315,ec-code/2.7.2.1;ec-code/2.7.2.15,IB49_05785
R00330,ec-code/2.7.4.6,IB49_02820
R00332,ec-code/2.7.4.8,IB49_16065
R00336,ec-code/3.1.7.2,IB49_04755
R00341,ec-code/4.1.1.49,IB49_06130
R00342,ec-code/1.1.1.37;ec-code/1.1.1.299,IB49_05555
R00344,ec-code/6.4.1.1,IB49_03790 or IB49_15675
R00348,ec-code/3.5.1.3,IB49_15035
R00351,ec-code/2.3.3.1;ec-code/2.3.3.3;ec-code/2.3.3.16,IB49_05565
R00355,ec-code/2.6.1.1,IB49_02630 or IB49_06635
R00357,ec-code/1.4.3.2;ec-code/1.4.3.16,IB49_04865
R00371,ec-code/2.3.1.29,IB49_02360
R00396,ec-code/1.4.1.1,IB49_05645 or IB49_14860
R00401,ec-code/5.1.1.1,IB49_11415
R00405,ec-code/6.2.1.5,IB49_16275 or IB49_16270
R00416,ec-code/2.7.7.23,IB49_10420
R00418,ec-code/5.1.3.2;ec-code/5.1.3.7,IB49_09140
R00420,ec-code/5.1.3.14,IB49_07975
R00421,ec-code/1.1.1.136,IB49_07990
R00425,ec-code/3.5.4.25,IB49_03265
R00426,ec-code/3.6.1.8;ec-code/3.6.1.-,IB49_05200 or IB49_10460
R00428,ec-code/3.5.4.16,IB49_02845
R00429,ec-code/2.7.6.5,IB49_04755 or IB49_14465
R00446,ec-code/1.4.1.18,IB49_12375
R00451,ec-code/4.1.1.20,IB49_03300
R00462,ec-code/4.1.1.18,IB49_15600
R00465,ec-code/1.1.1.79,IB49_06925 or IB49_17995 or IB49_12460
R00470,ec-code/4.1.3.16;ec-code/4.1.3.42,IB49_01635
R00472,ec-code/2.3.3.9,IB49_18020
