H2O	O
ATP	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
NAD+	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
NADH	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
NADPH	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
NADP+	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N
Oxygen	O=O
ADP	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N
Orthophosphate	OP(=O)(O)O
CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O
CO2	C(=O)=O
Diphosphate	
Ammonia	N
UDP	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O
FAD	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O
Pyridoxal phosphate	CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
S-Adenosyl-L-methionine	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
AMP	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
S-Adenosyl-L-homocysteine	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N
Pyruvate	CC(=O)C(=O)O
Acetyl-CoA	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
L-Glutamate	C(CC(=O)O)C(C(=O)O)N
2-Oxoglutarate	C(CC(=O)O)C(=O)C(=O)O
Hydrogen peroxide	OO
UDP-glucose	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O
D-Glucose	C(C1C(C(C(C(O1)O)O)O)O)O
Heme	CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C)CCC(=O)O)CCC(=O)O.[Fe+2]
Acetate	CC(=O)O
GDP	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
Oxaloacetate	C(C(=O)C(=O)O)C(=O)O
Glycine	C(C(=O)O)N
L-Alanine	CC(C(=O)O)N
Succinate	C(CC(=O)O)C(=O)O
UDP-N-acetyl-alpha-D-glucosamine	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
GTP	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
L-Lysine	C(CCN)CC(C(=O)O)N
Glyoxylate	C(=O)C(=O)O
L-Aspartate	C(C(C(=O)O)N)C(=O)O
Glutathione	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
UDP-alpha-D-galactose	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O
3'-Phosphoadenylyl sulfate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O)N
Adenosine 3',5'-bisphosphate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N
CMP	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O
Formate	C(=O)O
Sulfate	OS(=O)(=O)O
FMN	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O
L-Arginine	C(CC(C(=O)O)N)CN=C(N)N
CTP	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
L-Glutamine	C(CC(=O)N)C(C(=O)O)N
L-Serine	C(C(C(=O)O)N)O
Formaldehyde	C=O
Thiamin diphosphate	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O
Ascorbate	C(C(C1C(=C(C(=O)O1)O)O)O)O
L-Methionine	CSCCC(C(=O)O)N
Phosphoenolpyruvate	C=C(C(=O)O)OP(=O)(O)O
UTP	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
L-Ornithine	C(CC(C(=O)O)N)CN
L-Tryptophan	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
L-Phenylalanine	C1=CC=C(C=C1)CC(C(=O)O)N
H+	[H+]
ITP	
L-Tyrosine	C1=CC(=CC=C1CC(C(=O)O)N)O
Malonyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O
Acetaldehyde	CC=O
D-Fructose 6-phosphate	C(C1C(C(C(O1)(CO)O)O)O)OP(=O)(O)O
Urea	C(=O)(N)N
Nitrite	N(=O)[O-]
Sucrose	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
Succinyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O
D-Glucose 6-phosphate	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
sn-Glycerol 3-phosphate	C(C(COP(=O)(O)O)O)O
Sulfite	OS(=O)O
D-Fructose	C(C1C(C(C(O1)(CO)O)O)O)O
GDP-mannose	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N
L-Cysteine	C(C(C(=O)O)N)S
beta-Alanine	C(CN)C(=O)O
Propanoyl-CoA	CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Tetrahydrofolate	C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
D-Glucose 1-phosphate	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
IDP	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O
UMP	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O
Uracil	C1=CNC(=O)NC1=O
Anthranilate	C1=CC=C(C(=C1)C(=O)[O-])N
2-Oxobutanoate	CCC(=O)C(=O)[O-]
Glycerone phosphate	C(C(=O)COP(=O)(O)O)O
CDP	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O
Choline	C[N+](C)(C)CCO
Glycerol	C(C(CO)O)O
D-Ribose 5-phosphate	C(C(C(C(C=O)O)O)O)OP(=O)(O)O
D-Glyceraldehyde 3-phosphate	C(C(C=O)O)OP(=O)(O)O
5-Phospho-alpha-D-ribose 1-diphosphate	C(C1C(C(C(O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O
Biotin	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
D-Ribose	C1C(C(C(C(O1)O)O)O)O
Fumarate	C(=CC(=O)O)C(=O)O
L-Leucine	CC(C)CC(C(=O)O)N
D-Galactose	C(C1C(C(C(C(O1)O)O)O)O)O
Glutathione disulfide	
Isopentenyl diphosphate	CC(=C)CCOP(=O)([O-])OP(=O)([O-])[O-]
IMP	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O
dATP	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
Methanol	CO
D-Alanine	CC(C(=O)O)N
Putrescine	C(CCN)CN
L-Histidine	C1=C(NC=N1)CC(C(=O)O)N
Butanoyl-CoA	CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
myo-Inositol	C1(C(C(C(C(C1O)O)O)O)O)O
Reduced ferredoxin	
Oxidized ferredoxin	
N-Acetyl-D-glucosamine	CC(=O)NC1C(C(C(OC1O)CO)O)O
3-Methyl-2-oxobutanoic acid	CC(C)C(=O)C(=O)O
5,10-Methylenetetrahydrofolate	C1C2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
GMP	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(NC2=O)N
Adenine	C1=NC2=NC=NC(=C2N1)N
L-Proline	C1CC(NC1)C(=O)O
(S)-Malate	C(C(C(=O)O)O)C(=O)O
L-Asparagine	C(C(C(=O)O)N)C(=O)N
Nicotinamide	C1=CC(=CN=C1)C(=O)N
Palmitoyl-CoA	CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
L-Homocysteine	C(CS)C(C(=O)O)N
4-Hydroxybenzoate	C1=CC(=CC=C1C(=O)O)O
Citrate	C(C(=O)O)C(CC(=O)O)(C(=O)O)O
D-Mannose	C(C1C(C(C(C(O1)O)O)O)O)O
Glycolate	C(C(=O)O)O
Propanoate	CCC(=O)O
Acetoacetate	CC(=O)CC(=O)O
Phenylpyruvate	C1=CC=C(C=C1)CC(=O)C(=O)[O-]
