rxns,eccodes
R00006,ec-code/2.2.1.6
R00013,ec-code/4.1.1.47
R00019,ec-code/1.12.7.2;ec-code/1.12.99.-
R00025,ec-code/1.13.12.16
R00026,ec-code/3.2.1.21
R00036,ec-code/4.2.1.24
R00066,ec-code/2.5.1.9
R00068,ec-code/1.10.3.3
R00078,ec-code/1.16.3.1
R00084,ec-code/2.5.1.61
R00086,ec-code/3.6.1.3;ec-code/3.6.1.5;ec-code/3.6.1.8;ec-code/3.6.1.15
R00087,ec-code/3.6.1.8;ec-code/3.6.1.9
R00103,ec-code/3.6.1.9;ec-code/3.6.1.22
R00112,ec-code/1.6.1.1;ec-code/1.6.1.2;ec-code/1.6.1.3
R00114,ec-code/1.4.1.13
R00115,ec-code/1.8.1.7
R00127,ec-code/2.7.4.3
R00130,ec-code/2.7.1.24
R00131,ec-code/3.5.1.5
R00137,ec-code/2.7.7.1;ec-code/2.7.7.18
R00139,ec-code/2.7.4.6
R00156,ec-code/2.7.4.6
R00158,ec-code/2.7.4.4;ec-code/2.7.4.14;ec-code/2.7.4.22
R00177,ec-code/2.5.1.6
R00183,ec-code/3.1.3.5
R00188,ec-code/3.1.3.7;ec-code/3.1.3.97
R00189,ec-code/6.3.1.5;ec-code/6.3.5.1
R00190,ec-code/2.4.2.7;ec-code/2.4.2.8
R00194,ec-code/3.2.2.9
R00199,ec-code/2.7.9.2
R00200,ec-code/2.7.1.40
R00203,ec-code/1.2.1.22;ec-code/1.2.1.23
R00206,ec-code/2.7.9.1
R00207,ec-code/1.2.3.3
R00209,ec-code/1.2.4.1;ec-code/1.8.1.4;ec-code/2.3.1.12
R00214,ec-code/1.1.1.38;ec-code/1.1.1.39
R00215,ec-code/1.1.1.83
R00220,ec-code/4.3.1.17;ec-code/4.3.1.19
R00221,ec-code/4.3.1.18
R00226,ec-code/2.2.1.6
R00228,ec-code/1.2.1.10
R00230,ec-code/2.3.1.8
R00238,ec-code/2.3.1.9;ec-code/2.3.1.16
R00239,ec-code/2.7.2.11
R00245,ec-code/1.2.1.88
R00248,ec-code/1.4.1.3;ec-code/1.4.1.4;ec-code/1.4.1.13
