group	rep	protein	locus	name	log2intensity	fraction
Geo_0	Geo_0_1	AKU25182.1	IB49_00030	hypothetical protein	23.856989734304285	0.0020977131725906837
Geo_0	Geo_0_1	AKU25192.1	IB49_00095	stage II sporulation protein AA	16.20312018025381	1.0416019558088876e-5
Geo_0	Geo_0_1	AKU25194.1	IB49_00105	transposase	14.136764881667764	2.4869488904116753e-6
Geo_0	Geo_0_1	AKU25196.1	IB49_00120	multidrug ABC transporter ATP-binding protein	19.173094288425474	8.161182311392517e-5
Geo_0	Geo_0_1	AKU25197.1	IB49_00125	hypothetical protein	21.857291493107248	5.245379957534057e-4
Geo_0	Geo_0_1	AKU25198.1	IB49_00130	hypothetical protein	20.60285329513286	2.1986364680520878e-4
Geo_0	Geo_0_1	AKU25200.1	IB49_00140	alkyl hydroperoxide reductase	22.58627240593078	8.69404879885819e-4
Geo_0	Geo_0_1	AKU25201.1	IB49_00150	gamma-glutamyl cyclotransferase	21.160875258499832	3.2369409467238833e-4
Geo_0	Geo_0_1	AKU25202.1	IB49_00155	glutamine synthetase	22.972255683293092	0.0011360949197643435
Geo_0	Geo_0_1	AKU25205.1	IB49_00170	beta-lactamase	21.919370992421758	5.476016447599063e-4
Geo_0	Geo_0_1	AKU25207.1	IB49_00180	GDSL family lipase	16.48785985679106	1.2688695350052089e-5
Geo_0	Geo_0_1	AKU25209.1	IB49_00215	transposase	14.136764881667764	2.4869488904116753e-6
Geo_0	Geo_0_1	AKU25210.1	IB49_00220	pirin	21.841143301784097	5.186995396146898e-4
Geo_0	Geo_0_1	AKU25211.1	IB49_00225	NADPH-dependent oxidoreductase	18.90557569570699	6.779879244799561e-5
Geo_0	Geo_0_1	AKU25212.1	IB49_00230	NAD-dependent deacetylase	20.24054433046182	1.7103601179149197e-4
Geo_0	Geo_0_1	AKU25213.1	IB49_00235	acyl-CoA dehydrogenase	18.011392751836084	3.647926430180332e-5
Geo_0	Geo_0_1	AKU25215.1	IB49_00245	dehydratase	17.454898821858695	2.480417037398058e-5
Geo_0	Geo_0_1	AKU25216.1	IB49_00250	dehydratase	17.57190653238297	2.6899706181529422e-5
Geo_0	Geo_0_1	AKU25217.1	IB49_00260	acetyl-CoA acetyltransferase	16.95023369123248	1.7482573536066753e-5
Geo_0	Geo_0_1	AKU25220.1	IB49_00275	ABC transporter permease	21.443026866370676	3.9361430520410177e-4
Geo_0	Geo_0_1	AKU25224.1	IB49_00295	peroxiredoxin	23.777158325561594	0.0019847895136487787
Geo_0	Geo_0_1	AKU25227.1	IB49_00320	nitric oxide synthase oxygenase	19.30080867293404	8.916592930128358e-5
Geo_0	Geo_0_1	AKU25228.1	IB49_00325	molybdenum ABC transporter ATP-binding protein	20.49139100890375	2.0351664548188568e-4
Geo_0	Geo_0_1	AKU25230.1	IB49_00335	short-chain dehydrogenase	23.97468029196128	0.002276011716643962
Geo_0	Geo_0_1	AKU25231.1	IB49_00340	short-chain dehydrogenase	19.071237574401447	7.604858774364047e-5
Geo_0	Geo_0_1	AKU25233.1	IB49_00350	serine/threonine protein kinase	20.16346984880215	1.6213838029230187e-4
Geo_0	Geo_0_1	AKU25235.1	IB49_00360	DNA topoisomerase III	20.422412713037435	1.9401504085098873e-4
Geo_0	Geo_0_1	AKU25237.1	IB49_00370	XRE family transcriptional regulator	21.185733936037117	3.2931990692473964e-4
Geo_0	Geo_0_1	AKU25244.1	IB49_00440	short-chain dehydrogenase	19.35020422278918	9.227169156813167e-5
Geo_0	Geo_0_1	AKU25251.1	IB49_00490	ArsR family transcriptional regulator	17.935593166254833	3.461211373727976e-5
Geo_0	Geo_0_1	AKU25252.1	IB49_00495	cadmium transporter	18.813763902989756	6.361856301227279e-5
Geo_0	Geo_0_1	AKU25254.1	IB49_00505	integrase	16.74719883770072	1.5187482222624835e-5
Geo_0	Geo_0_1	AKU25255.1	IB49_00510	ATPase AAA	19.435219947356348	9.787251887140095e-5
Geo_0	Geo_0_1	AKU25257.1	IB49_00535	transposase	19.977111378596277	1.4249064119826207e-4
Geo_0	Geo_0_1	AKU25258.1	IB49_00540	DNA methyltransferase	18.77403774007369	6.18906563748486e-5
Geo_0	Geo_0_1	AKU25260.1	IB49_00550	DNA methyltransferase	21.59643677739294	4.3777590907458867e-4
Geo_0	Geo_0_1	AKU25261.1	IB49_00565	hypothetical protein	20.30671212092927	1.7906308018131152e-4
Geo_0	Geo_0_1	AKU25262.1	IB49_00585	ATPase AAA	20.006141752219172	1.453869259694758e-4
Geo_0	Geo_0_1	AKU25263.1	IB49_00590	transposase	16.302056155557004	1.1155382931106897e-5
Geo_0	Geo_0_1	AKU25264.1	IB49_00595	hypothetical protein	19.288857255439968	8.843032172555804e-5
Geo_0	Geo_0_1	AKU25265.1	IB49_00600	transposase	18.546353836195863	5.28549180721674e-5
Geo_0	Geo_0_1	AKU25268.1	IB49_00620	oligoribonuclease	17.931206045913243	3.4507020935457524e-5
Geo_0	Geo_0_1	AKU25269.1	IB49_00630	hypothetical protein	22.535374429389293	8.392672104059796e-4
Geo_0	Geo_0_1	AKU25271.1	IB49_00645	dihydropteridine reductase	16.48847787397494	1.269413205802887e-5
Geo_0	Geo_0_1	AKU25273.1	IB49_00660	spermidine synthase	20.40666592480051	1.9190891229909672e-4
Geo_0	Geo_0_1	AKU25274.1	IB49_00670	acyl-CoA dehydrogenase	20.646863074264147	2.2667399078747896e-4
Geo_0	Geo_0_1	AKU25275.1	IB49_00680	thioesterase	19.884453664442333	1.3362680649956225e-4
Geo_0	Geo_0_1	AKU25276.1	IB49_00695	hypothetical protein	25.768912136537867	0.00789390867689202
Geo_0	Geo_0_1	AKU25277.1	IB49_00700	MerR family transcriptional regulator	19.58237309242248	1.0838227833323745e-4
Geo_0	Geo_0_1	AKU25278.1	IB49_00710	DNA gyrase subunit A	19.24802085729534	8.596233906903294e-5
Geo_0	Geo_0_1	AKU25279.1	IB49_00720	CoA-binding protein	23.86072405524205	0.002103149998146947
Geo_0	Geo_0_1	AKU25281.1	IB49_00730	ATP synthase subunit B	21.19302564535782	3.309885781091834e-4
Geo_0	Geo_0_1	AKU25287.1	IB49_00825	pyrrolidone-carboxylate peptidase	18.42949197762786	4.874235172235663e-5
Geo_0	Geo_0_1	AKU25288.1	IB49_00830	oxidoreductase	19.223790878078407	8.45306627023695e-5
Geo_0	Geo_0_1	AKU25290.1	IB49_00840	threonine synthase	19.49572336220899	1.0206435803465847e-4
Geo_0	Geo_0_1	AKU25291.1	IB49_00845	peptidase T	22.675701087604672	9.250022500884668e-4
Geo_0	Geo_0_1	AKU25294.1	IB49_00860	peroxiredoxin	15.536012836469812	6.559677162335903e-6
Geo_0	Geo_0_1	AKU25296.1	IB49_00870	SAM-dependent methyltransferase	18.20567541425054	4.173793708789722e-5
Geo_0	Geo_0_1	AKU25297.1	IB49_00875	hypothetical protein	19.597046588985435	1.0949024783265712e-4
Geo_0	Geo_0_1	AKU25299.1	IB49_00885	photosynthetic protein synthase I	18.011659192451656	3.6486002007924395e-5
Geo_0	Geo_0_1	AKU25301.1	IB49_00900	threonine dehydratase	22.259591137655406	6.932361676731766e-4
Geo_0	Geo_0_1	AKU25302.1	IB49_00910	dihydrofolate reductase	18.760914941664726	6.133024966550798e-5
Geo_0	Geo_0_1	AKU25305.1	IB49_00940	hypothetical protein	21.140271926599357	3.191042258223684e-4
Geo_0	Geo_0_1	AKU25306.1	IB49_00970	cobinamide adenolsyltransferase	19.675718249301454	1.1562665669922338e-4
Geo_0	Geo_0_1	AKU25307.1	IB49_00975	uroporphyrin-III methyltransferase	22.880338398780502	0.001065969449507408
Geo_0	Geo_0_1	AKU25308.1	IB49_00980	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	20.59403987265864	2.1852459431967428e-4
Geo_0	Geo_0_1	AKU25309.1	IB49_00990	cobyrinic acid a,c-diamide synthase	22.739490210820534	9.668191158704164e-4
Geo_0	Geo_0_1	AKU25310.1	IB49_00995	cobalamin biosynthesis protein CbiG	23.031984697867404	0.001184117617921536
Geo_0	Geo_0_1	AKU25311.1	IB49_01005	precorrin-2 C20-methyltransferase	21.048906779802138	2.99522123288038e-4
Geo_0	Geo_0_1	AKU25312.1	IB49_01010	cobalamin biosynthesis protein CbiE	22.128393230490367	6.329752184314677e-4
Geo_0	Geo_0_1	AKU25313.1	IB49_01015	cobalt-precorrin-6A synthase	21.00187155808686	2.899144707157881e-4
Geo_0	Geo_0_1	AKU25314.1	IB49_01020	precorrin-8X methylmutase	21.879889308338917	5.328188400115678e-4
Geo_0	Geo_0_1	AKU25315.1	IB49_01030	sirohydrochlorin cobaltochelatase	22.597684918137706	8.763096253948229e-4
Geo_0	Geo_0_1	AKU25316.1	IB49_01035	cobalt-precorrin-3B C(17)-methyltransferase	21.22013713239219	3.372674103970118e-4
Geo_0	Geo_0_1	AKU25317.1	IB49_01040	cobalt ABC transporter ATP-binding protein	19.883697248034284	1.3355676327289997e-4
Geo_0	Geo_0_1	AKU25319.1	IB49_01055	cobalamin biosynthesis protein	19.929412321368922	1.3785657797957325e-4
Geo_0	Geo_0_1	AKU25323.1	IB49_01075	ribonuclease	22.091705657511763	6.170816717120995e-4
Geo_0	Geo_0_1	AKU25325.1	IB49_01090	DNA topoisomerase III	18.68657120264252	5.824988029304071e-5
Geo_0	Geo_0_1	AKU25326.1	IB49_01095	oxidoreductase	21.277345177767675	3.509099766237668e-4
Geo_0	Geo_0_1	AKU25328.1	IB49_01105	nicotinate phosphoribosyltransferase	21.446963755003587	3.946898838216343e-4
Geo_0	Geo_0_1	AKU25329.1	IB49_01110	isochorismatase	20.911938157115955	2.7239381476998673e-4
Geo_0	Geo_0_1	AKU25332.1	IB49_01130	monoacylglycerol lipase	20.84008057113252	2.591587956565062e-4
Geo_0	Geo_0_1	AKU25339.1	IB49_01175	uroporphyrinogen-III synthase	20.20069521866895	1.6637642307803613e-4
Geo_0	Geo_0_1	AKU25340.1	IB49_01180	hypothetical protein	20.30365551514136	1.7868410483437526e-4
Geo_0	Geo_0_1	AKU25342.1	IB49_01195	methionine aminopeptidase	19.884886603695787	1.336669126686005e-4
Geo_0	Geo_0_1	AKU25343.1	IB49_01200	hypothetical protein	20.454193489485352	1.983363728012944e-4
Geo_0	Geo_0_1	AKU25345.1	IB49_01210	PTS fructose transporter subunit IIA	19.289212219820623	8.845208202513622e-5
Geo_0	Geo_0_1	AKU25347.1	IB49_01220	DeoR faimly transcriptional regulator	19.70011610549679	1.1759868214749411e-4
Geo_0	Geo_0_1	AKU25348.1	IB49_01225	HD family phosphohydrolase	18.773363741659498	6.186174904477386e-5
Geo_0	Geo_0_1	AKU25349.1	IB49_01235	membrane protein	15.969223075674932	8.857103961894896e-6
Geo_0	Geo_0_1	AKU25350.1	IB49_01245	addiction module antidote protein	20.196428144669483	1.6588505683354132e-4
Geo_0	Geo_0_1	AKU25354.1	IB49_01270	ferrous iron transporter B	18.190157311150745	4.12913959646829e-5
Geo_0	Geo_0_1	AKU25355.1	IB49_01275	iron transporter FeoA	19.110452843971675	7.814408779317593e-5
Geo_0	Geo_0_1	AKU25361.1	IB49_01330	nitrite reductase	24.721935117081117	0.003820503573114099
Geo_0	Geo_0_1	AKU25363.1	IB49_01345	hypothetical protein	17.364514642796273	2.3297877462459948e-5
Geo_0	Geo_0_1	AKU25364.1	IB49_01350	thioesterase	19.228541067149045	8.480944539073233e-5
Geo_0	Geo_0_1	AKU25365.1	IB49_01360	2-nitropropane dioxygenase	18.01185426646571	3.649093579634321e-5
Geo_0	Geo_0_1	AKU25371.1	IB49_01400	transposase	19.977111378596277	1.4249064119826207e-4
Geo_0	Geo_0_1	AKU25372.1	IB49_01410	D-xylose transporter subunit XylF	17.935164657992775	3.460183479830149e-5
Geo_0	Geo_0_1	AKU25375.1	IB49_01440	ATPase AAA	20.67819575633939	2.3165078058187121e-4
Geo_0	Geo_0_1	AKU25376.1	IB49_01445	enoyl-CoA hydratase	17.623352851189807	2.7876254542027554e-5
Geo_0	Geo_0_1	AKU25380.1	IB49_01480	serine ammonia-lyase	19.33024222614097	9.100375710518084e-5
Geo_0	Geo_0_1	AKU25382.1	IB49_01495	hypothetical protein	22.105545501735662	6.230298514016e-4
Geo_0	Geo_0_1	AKU25396.1	IB49_01565	chemotaxis protein	14.617868596129451	3.471310877609498e-6
Geo_0	Geo_0_1	AKU25398.1	IB49_01575	transposase	17.900225221952805	3.377390753430901e-5
Geo_0	Geo_0_1	AKU25399.1	IB49_01580	hypothetical protein	21.101512634100583	3.1064534193492695e-4
Geo_0	Geo_0_1	AKU25400.1	IB49_01595	transposase	19.015027902120405	7.314259357915599e-5
Geo_0	Geo_0_1	AKU25401.1	IB49_01600	ATPase AAA	20.006141752219172	1.453869259694758e-4
Geo_0	Geo_0_1	AKU25403.1	IB49_01615	2-keto-3-deoxy-galactonate aldolase	19.80873713710026	1.2679456660647916e-4
Geo_0	Geo_0_1	AKU25406.1	IB49_01630	C4-dicarboxylate ABC transporter substrate-binding protein	17.166946550989845	2.03161979122678e-5
Geo_0	Geo_0_1	AKU25407.1	IB49_01635	2-dehydro-3-deoxyphosphogluconate aldolase	17.71692782232723	2.97442686250877e-5
Geo_0	Geo_0_1	AKU25408.1	IB49_01640	2-dehydro-3-deoxygluconokinase	16.379927175348936	1.1774053250490874e-5
Geo_0	Geo_0_1	AKU25409.1	IB49_01645	ureidoglycolate dehydrogenase	20.347535325971297	1.8420230484712143e-4
Geo_0	Geo_0_1	AKU25412.1	IB49_01670	transposase	19.977111378596277	1.4249064119826207e-4
Geo_0	Geo_0_1	AKU25415.1	IB49_01695	transposase	15.058700379260706	4.7119112191065846e-6
Geo_0	Geo_0_1	AKU25417.1	IB49_01715	transposase	21.14391597759903	3.199112583933644e-4
Geo_0	Geo_0_1	AKU25418.1	IB49_01720	mannitol-1-phosphate 5-dehydrogenase	19.624923159593187	1.1162645242094991e-4
Geo_0	Geo_0_1	AKU25419.1	IB49_01725	PTS mannitol transporter subunit IIA	20.411788165548337	1.925914895247153e-4
Geo_0	Geo_0_1	AKU25420.1	IB49_01730	PTS sugar transporter	21.053193292405176	3.004133820571955e-4
Geo_0	Geo_0_1	AKU25423.1	IB49_01750	hypothetical protein	21.949849313930446	5.592933207580664e-4
Geo_0	Geo_0_1	AKU25426.1	IB49_01765	alcohol dehydrogenase	15.908169996080877	8.490102511194906e-6
Geo_0	Geo_0_1	AKU25427.1	IB49_01770	Fis family transcriptional regulator	16.53905022175235	1.3147004319799746e-5
Geo_0	Geo_0_1	AKU25428.1	IB49_01780	voltage-gated potassium channel	20.165487671689814	1.623653135163018e-4
Geo_0	Geo_0_1	AKU25432.1	IB49_01800	RpiR family transcriptional regulator	19.935033701248088	1.3839477621111214e-4
Geo_0	Geo_0_1	AKU25433.1	IB49_01805	hypothetical protein	21.485869827298508	4.0547855491241774e-4
