Query ID	Predicted EC number
NP_414543.1	EC:2.7.2.4
NP_414543.1	EC:1.1.1.3
NP_414544.1	EC:2.7.1.39
NP_414545.1	EC:4.2.3.1
NP_414549.1	EC:2.2.1.2
NP_414550.1	EC:2.7.7.75
NP_414566.1	EC:2.7.1.26
NP_414566.1	EC:2.7.7.2
NP_414567.1	EC:6.1.1.5
NP_414568.1	EC:3.4.23.36
NP_414570.1	EC:1.17.7.4
NP_414572.1	EC:1.17.1.8
NP_414573.1	EC:6.3.5.5
NP_414578.2	EC:4.2.1.149
NP_414580.1	EC:2.8.3.21
NP_414588.1	EC:1.6.5.2
NP_414590.1	EC:1.5.1.3
NP_414591.1	EC:3.6.1.41
NP_414593.1	EC:2.1.1.182
NP_414594.1	EC:1.1.1.262
NP_414595.1	EC:5.2.1.8
NP_414600.1	EC:5.4.99.28
NP_414602.1	EC:2.7.7.7
NP_414603.1	EC:5.1.3.4
NP_414604.1	EC:5.3.1.4
NP_414605.1	EC:2.7.1.16
NP_414610.1	EC:3.2.1.89
NP_414613.1	EC:4.2.1.33
NP_414614.1	EC:4.2.1.33
NP_414615.4	EC:1.1.1.85
NP_414616.1	EC:2.3.3.13
NP_414624.1	EC:2.1.1.199
NP_414627.1	EC:6.3.2.13
NP_414628.1	EC:6.3.2.10
NP_414629.1	EC:2.7.8.13
NP_414630.1	EC:6.3.2.9
NP_414631.1	EC:2.4.1.129
NP_414632.1	EC:2.4.1.227
NP_414633.1	EC:6.3.2.8
NP_414634.1	EC:6.3.2.4
NP_414638.1	EC:3.5.1.108
NP_414641.1	EC:3.6.1.17
NP_414641.1	EC:3.6.1.55
NP_414645.1	EC:2.7.1.24
NP_414646.1	EC:1.7.1.7
NP_414651.1	EC:2.4.2.19
NP_414652.1	EC:3.5.1.28
NP_414656.1	EC:1.2.4.1
NP_414657.1	EC:2.3.1.12
NP_414658.1	EC:1.8.1.4
NP_414660.1	EC:4.2.1.3
NP_414660.1	EC:4.2.1.99
NP_414662.1	EC:4.1.1.50
NP_414663.1	EC:2.5.1.16
NP_414666.1	EC:1.1.5.2
NP_414667.4	EC:2.4.2.8
NP_414673.1	EC:4.1.1.11
NP_414675.1	EC:6.3.2.1
NP_414676.1	EC:2.1.2.11
NP_414685.4	EC:2.7.7.19
NP_414686.3	EC:6.1.1.17
NP_414690.4	EC:3.6.4.13
NP_414693.1	EC:3.6.3.34
NP_414696.1	EC:5.4.3.8
NP_414701.1	EC:3.2.2.9
NP_414702.1	EC:3.1.5.1
NP_414581.1	EC:1.3.8.13
