ProteinID	ReplicateA	ReplicateB	ReplicateC	ReplicateD
AKU25182.1	1.06983371802125	0.612016608387442	0.36280668389054	1.08122924873949
AKU25192.1	0.00531216997462533	0.0244341284560732	NaN	0.0677050732707662
AKU25194.1	0.00126834393410995	0.000354718287576555	0.000865857457012134	0.00040504741205776
AKU25196.1	0.0416220297881018	0.0280006265970223	0.0228059572770774	0.0435903552068232
AKU25197.1	0.267514377834237	0.276426489680808	0.483840696474362	0.20170508853558
AKU25198.1	0.112130459870656	0.120069911402928	0.0932740475561012	0.104149784765997
AKU25200.1	0.443396488741768	0.430136220280258	0.447555993611606	0.487837132071109
AKU25201.1	0.165083988282918	0.142016774986893	0.123504649515886	0.187397156742914
AKU25202.1	0.579408409079815	0.525696143096199	0.846042401888362	0.60823238777629
AKU25205.1	0.279276838827552	0.18452145774284	0.358293888829975	0.200222642561666
AKU25207.1	0.00647123462852657	0.00265481114946485	NaN	0.0112868785560747
AKU25209.1	0.00126834393410995	0.000354718287576555	0.000865857457012134	0.00040504741205776
AKU25210.1	0.264536765203492	0.251367862982779	0.315177624913855	0.305227897462919
AKU25211.1	0.0345773841484778	0.0628222134877828	0.0640382566365205	0.0614381784116297
AKU25212.1	0.0872283660136609	0.0665359832208237	0.0692362244246325	0.0816331673383181
AKU25213.1	0.0186044247939197	0.0495460591714455	0.0116590704787899	0.0234040193470611
AKU25215.1	0.0126501268907301	NaN	0.00474087179992757	0.013886880831865
AKU25216.1	0.01371885015258	0.0728439043196425	0.0404965309476855	0.00650492998969946
AKU25217.1	0.00891611250339404	0.00903515257577547	0.0152280127025405	0.00920720795243229
AKU25220.1	0.200743295654092	0.13563278400843	0.515371282777318	0.179648627480018
AKU25224.1	1.01224265196088	0.810899898348214	0.417458525568021	0.885738270231136
AKU25227.1	0.0454746239436546	0.0237464132522165	0.038398622266641	0.0524941214258974
AKU25228.1	0.103793489195762	0.112109639687971	0.123637039967873	0.105025955201127
AKU25230.1	1.16076597548842	0.645899835854202	0.570989521117455	0.923900415042071
AKU25231.1	0.0387847797492566	0.0548320851497485	0.00373325138405038	0.0477394681808799
AKU25233.1	0.0826905739490739	0.0819917751266582	0.0698191713237151	0.0612713167083472
AKU25235.1	0.0989476708340043	0.153253274806396	0.133306293175498	0.162114232417183
AKU25237.1	0.167953152531617	0.199075370783286	0.148178234938887	0.0980534500979914
AKU25244.1	0.0470585626997472	0.0305988845861581	0.0210420504508683	0.0410227012330897
AKU25251.1	0.0176521780060127	0.00483842520614243	0.0116596949436413	0.0304472354780707
